week_start,team,deployments,success_rate_pct,lead_time_hours,on_time_delivery_pct
2024-03-04,Customer Experience,4,91.8,35.5,95.6
2024-03-04,Field Operations Tools,2,87.4,50.7,94.8
2024-03-04,Data Platform,12,94.0,18.6,95.7
2024-03-04,Core Billing,3,86.4,20.9,80.7
2024-03-11,Grid Analytics,9,85.7,24.3,94.6
2024-03-11,Customer Experience,3,85.5,31.5,83.6
2024-03-11,Field Operations Tools,12,93.3,10.4,73.1
2024-03-11,Data Platform,3,86.8,8.2,93.4
2024-03-11,Core Billing,4,87.0,60.0,81.2
2024-03-18,Grid Analytics,11,99.1,9.7,87.6
2024-03-18,Customer Experience,2,85.3,8.4,97.1
2024-03-18,Field Operations Tools,8,97.1,10.3,95.4
2024-03-18,Data Platform,6,86.8,68.1,71.5
2024-03-18,Core Billing,10,91.5,53.3,84.9
2024-03-25,Grid Analytics,7,95.2,15.8,76.4
2024-03-25,Customer Experience,3,89.1,34.3,74.5
2024-03-25,Field Operations Tools,10,94.3,20.7,78.9
2024-03-25,Data Platform,7,98.2,36.6,72.6
2024-03-25,Core Billing,7,87.1,17.6,96.5
2024-04-01,Grid Analytics,9,88.7,71.6,86.3
2024-04-01,Customer Experience,1,99.8,57.2,80.8
2024-04-01,Field Operations Tools,9,96.7,27.4,87.0
2024-04-01,Data Platform,6,90.8,16.2,79.6
2024-04-01,Core Billing,4,85.4,59.1,78.4
2024-04-08,Grid Analytics,8,92.9,56.1,100.0
2024-04-08,Customer Experience,3,86.5,48.7,78.0
2024-04-08,Field Operations Tools,12,85.8,71.8,76.6
2024-04-08,Data Platform,7,90.3,61.1,95.4
2024-04-08,Core Billing,3,88.5,25.6,92.1
2024-04-15,Grid Analytics,6,98.7,5.9,91.0
2024-04-15,Customer Experience,10,93.5,42.3,75.6
2024-04-15,Field Operations Tools,8,93.1,15.9,71.1
2024-04-15,Data Platform,1,88.5,18.9,85.8
2024-04-15,Core Billing,1,90.0,45.8,94.2
2024-04-22,Grid Analytics,6,95.8,66.5,95.3
2024-04-22,Customer Experience,6,85.9,14.0,91.1
2024-04-22,Field Operations Tools,3,96.6,61.6,95.8
2024-04-22,Data Platform,2,90.6,68.1,81.9
2024-04-22,Core Billing,2,90.0,25.9,99.3
2024-04-29,Grid Analytics,12,99.2,57.8,98.8
2024-04-29,Customer Experience,11,89.8,52.1,86.9
2024-04-29,Field Operations Tools,10,96.8,19.2,87.7
2024-04-29,Data Platform,3,90.7,53.9,78.8
2024-04-29,Core Billing,3,95.9,68.5,98.5
2024-05-06,Grid Analytics,7,97.8,56.4,87.0
2024-05-06,Customer Experience,3,94.0,66.6,99.0
2024-05-06,Field Operations Tools,4,94.6,11.1,84.9
2024-05-06,Data Platform,6,96.2,20.2,99.5
2024-05-06,Core Billing,3,94.5,69.5,94.6
2024-05-13,Grid Analytics,11,94.6,64.3,83.4
2024-05-13,Customer Experience,5,88.1,51.1,80.5
2024-05-13,Field Operations Tools,2,95.8,7.3,83.1
2024-05-13,Data Platform,7,99.5,64.1,84.8
2024-05-13,Core Billing,7,90.3,29.5,94.9
2024-05-20,Grid Analytics,10,94.8,50.7,74.9
2024-05-20,Customer Experience,2,97.0,6.3,70.6
2024-05-20,Field Operations Tools,5,99.3,9.0,75.1
2024-05-20,Data Platform,7,87.4,9.1,98.3
2024-05-20,Core Billing,2,90.1,71.0,96.8
2024-05-27,Grid Analytics,12,85.5,68.1,74.9
2024-05-27,Customer Experience,7,87.4,10.9,76.2
2024-05-27,Field Operations Tools,4,91.1,41.7,97.8
2024-05-27,Data Platform,9,89.0,23.1,77.1
2024-05-27,Core Billing,1,90.9,41.4,84.7
2024-06-03,Grid Analytics,1,90.4,33.1,78.8
2024-06-03,Customer Experience,11,94.4,36.7,72.9
2024-06-03,Field Operations Tools,4,87.6,23.8,72.5
2024-06-03,Data Platform,2,89.6,31.0,84.7
2024-06-03,Core Billing,11,89.0,47.6,81.6
2024-06-10,Grid Analytics,6,98.3,29.1,83.4
2024-06-10,Customer Experience,5,91.6,21.9,95.1
2024-06-10,Field Operations Tools,10,85.9,55.2,90.0
2024-06-10,Data Platform,2,95.0,59.0,82.4
2024-06-10,Core Billing,10,88.4,8.1,81.6
2024-06-17,Grid Analytics,9,91.3,40.4,96.0
2024-06-17,Customer Experience,8,93.6,20.0,79.0
2024-06-17,Field Operations Tools,7,98.5,52.6,85.1
2024-06-17,Data Platform,9,97.0,50.1,88.6
2024-06-17,Core Billing,2,99.2,34.5,98.5
2024-06-24,Grid Analytics,3,99.6,59.0,73.8
2024-06-24,Customer Experience,7,86.2,50.5,76.1
2024-06-24,Field Operations Tools,11,87.2,44.5,79.6
2024-06-24,Data Platform,12,98.7,8.6,81.6
2024-06-24,Core Billing,7,93.3,62.3,85.6
2024-07-01,Grid Analytics,1,96.8,46.4,85.7
2024-07-01,Customer Experience,7,86.7,14.2,87.0
2024-07-01,Field Operations Tools,10,96.4,67.9,97.7
2024-07-01,Data Platform,10,96.7,57.4,96.0
2024-07-01,Core Billing,6,98.2,22.0,89.6
2024-07-08,Grid Analytics,10,94.1,6.5,78.3
2024-07-08,Customer Experience,3,94.3,50.3,82.1
2024-07-08,Field Operations Tools,7,98.3,26.5,77.1
2024-07-08,Data Platform,12,92.1,22.3,81.2
2024-07-08,Core Billing,6,97.3,24.6,78.4
2024-07-15,Grid Analytics,8,97.9,50.6,99.2
2024-07-15,Customer Experience,4,87.0,70.2,83.3
2024-07-15,Field Operations Tools,6,89.0,32.3,89.4
2024-07-15,Data Platform,4,91.6,66.1,82.2
2024-07-15,Core Billing,8,96.4,63.0,94.6
2024-07-22,Grid Analytics,9,96.9,8.5,91.3
2024-07-22,Customer Experience,7,87.0,61.9,96.4
2024-07-22,Field Operations Tools,1,87.6,63.5,76.0
2024-07-22,Data Platform,1,88.7,35.0,97.5
2024-07-22,Core Billing,12,88.0,29.0,83.9
2024-07-29,Grid Analytics,7,94.5,12.4,70.9
2024-07-29,Customer Experience,6,92.3,34.3,98.8
2024-07-29,Field Operations Tools,8,93.8,27.8,74.9
2024-07-29,Data Platform,5,96.2,50.8,78.6
2024-07-29,Core Billing,7,85.7,62.1,93.4
2024-08-05,Grid Analytics,4,97.9,48.0,90.3
2024-08-05,Customer Experience,5,94.8,38.9,95.9
2024-08-05,Field Operations Tools,11,85.1,66.0,89.4
2024-08-05,Data Platform,10,97.0,19.2,88.3
2024-08-05,Core Billing,5,95.7,52.2,78.3
2024-08-12,Grid Analytics,7,97.8,35.2,76.5
2024-08-12,Customer Experience,5,95.2,60.1,81.9
2024-08-12,Field Operations Tools,2,85.1,72.0,99.0
2024-08-12,Data Platform,6,93.4,44.4,78.5
2024-08-12,Core Billing,11,86.6,8.3,99.7
2024-08-19,Grid Analytics,11,89.9,22.8,89.7
2024-08-19,Customer Experience,11,89.5,14.2,93.0
2024-08-19,Field Operations Tools,1,97.1,58.6,88.0
2024-08-19,Data Platform,11,89.8,13.5,70.8
2024-08-19,Core Billing,8,100.0,21.6,82.6
2024-08-26,Grid Analytics,7,96.1,43.6,99.8
2024-08-26,Customer Experience,4,90.1,52.5,90.6
2024-08-26,Field Operations Tools,11,96.8,65.6,90.2
2024-08-26,Data Platform,9,89.5,15.6,89.7
2024-08-26,Core Billing,9,87.7,10.6,73.8
2024-09-02,Grid Analytics,5,95.9,42.0,97.4
2024-09-02,Customer Experience,11,98.5,48.5,76.7
2024-09-02,Field Operations Tools,4,96.2,24.9,93.6
2024-09-02,Data Platform,6,90.6,43.8,83.9
2024-09-02,Core Billing,2,92.1,62.9,87.5
2024-09-09,Grid Analytics,10,86.1,64.5,85.0
2024-09-09,Customer Experience,11,90.7,24.3,71.6
2024-09-09,Field Operations Tools,3,87.1,17.6,82.3
2024-09-09,Data Platform,10,98.4,71.1,74.3
2024-09-09,Core Billing,12,87.7,9.5,80.0
2024-09-16,Grid Analytics,3,89.7,7.9,83.6
2024-09-16,Customer Experience,4,96.4,15.5,92.9
2024-09-16,Field Operations Tools,8,96.8,57.0,73.9
2024-09-16,Data Platform,7,94.5,31.4,99.0
2024-09-16,Core Billing,7,85.1,40.3,91.9
2024-09-23,Grid Analytics,1,98.4,55.5,85.9
2024-09-23,Customer Experience,1,95.2,46.6,77.5
2024-09-23,Field Operations Tools,12,98.2,25.2,73.1
2024-09-23,Data Platform,9,93.8,15.4,94.7
2024-09-23,Core Billing,5,99.2,35.0,85.6
2024-09-30,Grid Analytics,9,90.1,64.4,99.9
2024-09-30,Customer Experience,6,99.9,37.3,92.5
2024-09-30,Field Operations Tools,3,99.2,66.4,82.1
2024-09-30,Data Platform,4,88.4,71.0,76.3
2024-09-30,Core Billing,1,93.8,15.5,81.0
2024-10-07,Grid Analytics,11,96.9,29.5,89.2
2024-10-07,Customer Experience,9,94.3,44.4,71.4
2024-10-07,Field Operations Tools,2,94.8,5.3,90.7
2024-10-07,Data Platform,7,91.7,12.4,77.6
2024-10-07,Core Billing,12,87.3,51.3,88.9
2024-10-14,Grid Analytics,5,91.3,10.9,85.6
2024-10-14,Customer Experience,10,94.1,13.3,94.9
2024-10-14,Field Operations Tools,2,92.7,46.0,78.5
2024-10-14,Data Platform,2,92.5,45.4,93.3
2024-10-14,Core Billing,9,99.6,28.3,82.3
2024-10-21,Grid Analytics,3,85.6,37.8,76.2
2024-10-21,Customer Experience,8,90.0,4.2,90.1
2024-10-21,Field Operations Tools,2,97.5,49.5,74.5
2024-10-21,Data Platform,2,96.7,9.1,91.7
2024-10-21,Core Billing,5,94.7,35.1,99.3
2024-10-28,Grid Analytics,5,92.0,10.8,75.2
2024-10-28,Customer Experience,1,97.8,28.5,90.3
2024-10-28,Field Operations Tools,7,96.1,10.5,92.7
2024-10-28,Data Platform,1,85.1,13.4,89.4
2024-10-28,Core Billing,6,90.4,33.8,88.7
2024-11-04,Grid Analytics,12,86.4,59.4,75.5
2024-11-04,Customer Experience,7,91.0,35.0,95.1
2024-11-04,Field Operations Tools,12,97.8,58.4,89.5
2024-11-04,Data Platform,3,86.7,51.3,71.8
2024-11-04,Core Billing,3,86.6,66.0,84.5
2024-11-11,Grid Analytics,10,95.2,16.3,81.4
2024-11-11,Customer Experience,6,94.2,62.7,96.4
2024-11-11,Field Operations Tools,12,99.6,12.9,97.6
2024-11-11,Data Platform,2,98.3,34.0,71.9
2024-11-11,Core Billing,11,89.7,51.9,90.3
2024-11-18,Grid Analytics,12,93.6,42.4,99.3
2024-11-18,Customer Experience,11,98.1,39.3,90.6
2024-11-18,Field Operations Tools,10,86.4,49.0,77.5
2024-11-18,Data Platform,6,95.0,47.6,74.5
2024-11-18,Core Billing,9,98.4,45.7,70.3
2024-11-25,Grid Analytics,3,92.6,35.9,84.9
2024-11-25,Customer Experience,3,86.1,37.4,77.2
2024-11-25,Field Operations Tools,5,85.8,19.1,89.3
2024-11-25,Data Platform,7,97.3,9.4,83.3
2024-11-25,Core Billing,10,91.7,62.2,83.4
2024-12-02,Grid Analytics,2,99.7,54.7,70.5
2024-12-02,Customer Experience,7,91.2,41.9,70.0
2024-12-02,Field Operations Tools,2,96.9,69.5,89.1
2024-12-02,Data Platform,9,93.4,48.5,83.7
2024-12-02,Core Billing,6,90.5,7.7,76.7
2024-12-09,Grid Analytics,8,90.0,56.2,88.0
2024-12-09,Customer Experience,12,94.9,52.7,73.4
2024-12-09,Field Operations Tools,11,88.3,27.2,94.9
2024-12-09,Data Platform,5,93.2,29.4,73.2
2024-12-09,Core Billing,3,92.4,59.9,92.3
2024-12-16,Grid Analytics,7,86.6,45.5,75.6
2024-12-16,Customer Experience,7,88.2,60.1,75.7
2024-12-16,Field Operations Tools,6,86.6,32.2,97.8
2024-12-16,Data Platform,11,93.8,56.5,83.5
2024-12-16,Core Billing,11,93.8,38.3,98.9
2024-12-23,Grid Analytics,1,93.0,7.3,98.1
2024-12-23,Customer Experience,10,92.2,38.6,97.6
2024-12-23,Field Operations Tools,3,95.4,15.8,94.5
2024-12-23,Data Platform,2,90.8,44.8,96.5
2024-12-23,Core Billing,9,98.2,32.5,88.3
2024-12-30,Grid Analytics,12,96.4,22.6,98.9
2024-12-30,Customer Experience,5,91.8,13.1,82.4
2024-12-30,Field Operations Tools,12,98.3,38.8,95.3
2024-12-30,Data Platform,9,97.9,52.4,98.1
2024-12-30,Core Billing,11,88.3,18.3,91.4
2025-01-06,Grid Analytics,11,90.2,49.7,99.4
2025-01-06,Customer Experience,11,99.6,16.1,86.3
2025-01-06,Field Operations Tools,11,89.8,11.8,80.6
2025-01-06,Data Platform,8,93.7,68.1,91.3
2025-01-06,Core Billing,11,96.2,61.2,78.6
2025-01-13,Grid Analytics,7,97.1,39.5,70.8
2025-01-13,Customer Experience,3,85.8,7.8,78.0
2025-01-13,Field Operations Tools,3,99.8,50.5,74.4
2025-01-13,Data Platform,1,95.4,24.1,92.6
2025-01-13,Core Billing,1,90.4,34.8,88.5
2025-01-20,Grid Analytics,11,96.1,62.8,92.3
2025-01-20,Customer Experience,9,90.8,38.7,93.9
2025-01-20,Field Operations Tools,12,89.3,49.2,97.8
2025-01-20,Data Platform,7,91.2,57.6,90.6
2025-01-20,Core Billing,9,85.8,54.6,76.1
2025-01-27,Grid Analytics,8,97.4,66.0,91.1
2025-01-27,Customer Experience,11,90.5,44.0,92.2
2025-01-27,Field Operations Tools,4,96.6,69.6,78.8
2025-01-27,Data Platform,3,99.8,9.1,98.9
2025-01-27,Core Billing,12,92.7,29.6,82.9
2025-02-03,Grid Analytics,9,89.0,14.9,95.4
2025-02-03,Customer Experience,1,90.0,52.3,74.6
2025-02-03,Field Operations Tools,3,98.9,44.6,93.2
2025-02-03,Data Platform,11,94.2,49.0,84.7
2025-02-03,Core Billing,10,93.3,9.0,91.2
2025-02-10,Grid Analytics,9,88.3,16.5,72.0
2025-02-10,Customer Experience,9,87.4,40.9,82.1
2025-02-10,Field Operations Tools,6,88.3,18.5,80.0
2025-02-10,Data Platform,6,89.4,68.6,88.5
2025-02-10,Core Billing,8,99.9,60.0,99.4
2025-02-17,Grid Analytics,1,86.7,27.5,77.2
2025-02-17,Customer Experience,11,94.2,46.2,98.8
2025-02-17,Field Operations Tools,11,98.3,29.9,93.9
2025-02-17,Data Platform,2,90.8,40.7,78.5
2025-02-17,Core Billing,9,97.3,29.5,94.1
2025-02-24,Grid Analytics,8,92.3,24.2,89.5
2025-02-24,Customer Experience,6,92.7,68.5,75.0
2025-02-24,Field Operations Tools,9,93.0,46.6,76.3
2025-02-24,Data Platform,11,96.6,62.8,82.7
2025-02-24,Core Billing,2,88.1,60.4,96.4
2025-03-03,Grid Analytics,12,96.6,48.0,98.2
2025-03-03,Customer Experience,12,95.3,5.6,91.5
2025-03-03,Field Operations Tools,1,86.3,7.7,93.8
2025-03-03,Data Platform,9,86.1,59.9,97.3
2025-03-03,Core Billing,7,90.8,46.9,83.0
2025-03-10,Grid Analytics,1,90.8,12.0,70.2
2025-03-10,Customer Experience,12,94.3,55.4,87.6
2025-03-10,Field Operations Tools,12,97.7,28.3,85.1
2025-03-10,Data Platform,5,96.8,24.5,72.6
2025-03-10,Core Billing,8,90.7,59.9,70.9
2025-03-17,Grid Analytics,3,93.0,13.3,81.7
2025-03-17,Customer Experience,9,89.4,47.1,78.9
2025-03-17,Field Operations Tools,12,94.7,69.1,70.3
2025-03-17,Data Platform,9,87.1,6.8,87.2
2025-03-17,Core Billing,7,93.1,68.4,79.1
2025-03-24,Grid Analytics,12,96.1,53.4,76.4
2025-03-24,Customer Experience,11,97.8,13.7,75.5
2025-03-24,Field Operations Tools,10,97.5,17.2,75.4
2025-03-24,Data Platform,10,97.8,61.9,98.0
2025-03-24,Core Billing,9,91.9,41.4,78.7
2025-03-31,Grid Analytics,2,88.8,17.4,87.4
2025-03-31,Customer Experience,6,90.4,49.6,77.0
2025-03-31,Field Operations Tools,5,94.3,65.2,79.5
2025-03-31,Data Platform,8,89.9,48.8,90.8
2025-03-31,Core Billing,3,93.5,28.8,79.5
2025-04-07,Grid Analytics,7,87.5,25.3,93.6
2025-04-07,Customer Experience,12,96.1,33.7,95.2
2025-04-07,Field Operations Tools,3,95.2,26.5,84.4
2025-04-07,Data Platform,8,90.4,24.8,86.6
2025-04-07,Core Billing,3,94.7,9.6,78.4
2025-04-14,Grid Analytics,3,98.4,17.4,92.0
2025-04-14,Customer Experience,11,86.1,9.1,70.6
2025-04-14,Field Operations Tools,9,94.5,59.3,87.4
2025-04-14,Data Platform,10,88.2,6.5,77.8
2025-04-14,Core Billing,9,92.1,56.7,81.0
2025-04-21,Grid Analytics,4,98.4,44.1,95.7
2025-04-21,Customer Experience,3,92.0,38.7,81.9
2025-04-21,Field Operations Tools,9,85.2,20.2,98.9
2025-04-21,Data Platform,10,95.3,55.5,74.2
2025-04-21,Core Billing,3,87.7,68.5,89.8
2025-04-28,Grid Analytics,3,96.0,36.9,80.8
2025-04-28,Customer Experience,4,96.4,19.8,77.9
2025-04-28,Field Operations Tools,4,85.6,18.1,97.2
2025-04-28,Data Platform,6,90.8,66.4,96.4
2025-04-28,Core Billing,1,99.7,26.0,91.1
2025-05-05,Grid Analytics,9,94.5,22.6,92.3
2025-05-05,Customer Experience,10,93.2,15.8,89.6
2025-05-05,Field Operations Tools,6,93.8,65.1,72.3
2025-05-05,Data Platform,5,90.6,65.7,85.5
2025-05-05,Core Billing,6,97.3,27.5,93.8
2025-05-12,Grid Analytics,10,85.1,64.0,83.2
2025-05-12,Customer Experience,4,86.2,47.8,76.3
2025-05-12,Field Operations Tools,3,87.4,44.9,94.5
2025-05-12,Data Platform,11,88.5,59.2,91.6
2025-05-12,Core Billing,8,95.1,36.6,87.7
2025-05-19,Grid Analytics,11,97.5,5.5,71.3
2025-05-19,Customer Experience,10,93.9,13.2,85.4
2025-05-19,Field Operations Tools,10,87.2,15.3,97.7
2025-05-19,Data Platform,9,99.4,44.8,86.9
2025-05-19,Core Billing,1,98.2,53.5,94.6
2025-05-26,Grid Analytics,2,88.2,45.2,84.1
2025-05-26,Customer Experience,8,87.6,60.5,88.0
2025-05-26,Field Operations Tools,10,97.3,16.4,89.8
2025-05-26,Data Platform,5,87.5,50.6,97.7
2025-05-26,Core Billing,10,93.9,19.6,81.6
2025-06-02,Grid Analytics,2,85.2,39.5,97.3
2025-06-02,Customer Experience,11,91.3,14.2,72.9
2025-06-02,Field Operations Tools,8,98.5,44.8,96.3
2025-06-02,Data Platform,9,92.5,12.0,84.5
2025-06-02,Core Billing,3,98.5,40.7,70.0
2025-06-09,Grid Analytics,11,94.7,39.5,81.1
2025-06-09,Customer Experience,1,95.5,33.2,98.2
2025-06-09,Field Operations Tools,8,96.8,29.9,87.7
2025-06-09,Data Platform,12,98.6,60.9,87.3
2025-06-09,Core Billing,7,87.0,36.4,77.0
2025-06-16,Grid Analytics,2,89.2,63.6,82.3
2025-06-16,Customer Experience,4,85.1,54.6,70.2
2025-06-16,Field Operations Tools,9,86.8,4.5,89.6
2025-06-16,Data Platform,12,97.1,31.8,73.2
2025-06-16,Core Billing,7,94.8,21.2,95.6
2025-06-23,Grid Analytics,7,93.5,45.6,99.8
2025-06-23,Customer Experience,7,96.3,32.1,93.5
2025-06-23,Field Operations Tools,8,87.7,42.0,84.5
2025-06-23,Data Platform,5,93.7,56.6,81.9
2025-06-23,Core Billing,3,97.8,48.8,92.4
2025-06-30,Grid Analytics,8,96.7,68.5,73.0
2025-06-30,Customer Experience,9,91.0,27.0,86.5
2025-06-30,Field Operations Tools,12,95.3,7.5,81.7
2025-06-30,Data Platform,11,85.1,10.2,74.4
2025-06-30,Core Billing,10,91.5,8.4,76.7
2025-07-07,Grid Analytics,2,94.1,53.3,97.9
2025-07-07,Customer Experience,7,94.2,39.4,91.3
2025-07-07,Field Operations Tools,10,85.9,56.6,75.3
2025-07-07,Data Platform,8,91.6,17.7,89.7
2025-07-07,Core Billing,9,89.3,6.3,88.0
2025-07-14,Grid Analytics,9,95.5,45.8,90.2
2025-07-14,Customer Experience,6,88.6,4.0,74.7
2025-07-14,Field Operations Tools,5,96.7,28.0,81.9
2025-07-14,Data Platform,10,88.0,5.0,91.1
2025-07-14,Core Billing,2,93.2,53.4,86.8
2025-07-21,Grid Analytics,10,90.2,69.5,78.3
2025-07-21,Customer Experience,10,99.4,34.9,82.1
2025-07-21,Field Operations Tools,1,88.9,31.7,73.2
2025-07-21,Data Platform,2,92.5,27.1,73.5
2025-07-21,Core Billing,9,99.4,63.6,94.4
2025-07-28,Grid Analytics,10,88.8,34.1,81.3
2025-07-28,Customer Experience,8,96.5,55.5,98.8
2025-07-28,Field Operations Tools,8,95.2,65.0,95.9
2025-07-28,Data Platform,8,86.7,8.6,89.0
2025-07-28,Core Billing,4,95.2,19.6,79.5
2025-08-04,Grid Analytics,6,92.7,4.7,95.0
2025-08-04,Customer Experience,4,89.3,31.1,92.5
2025-08-04,Field Operations Tools,6,86.1,67.3,84.3
2025-08-04,Data Platform,6,88.3,43.0,75.5
2025-08-04,Core Billing,12,95.2,65.9,85.0
2025-08-11,Grid Analytics,4,88.5,20.5,78.0
2025-08-11,Customer Experience,4,88.0,21.0,88.6
2025-08-11,Field Operations Tools,3,96.7,12.2,72.4
2025-08-11,Data Platform,11,92.4,4.5,95.7
2025-08-11,Core Billing,1,97.7,29.2,79.5
2025-08-18,Grid Analytics,10,98.0,37.4,99.5
2025-08-18,Customer Experience,9,89.2,19.1,87.3
2025-08-18,Field Operations Tools,1,92.9,32.8,98.2
2025-08-18,Data Platform,1,92.5,30.8,90.6
2025-08-18,Core Billing,3,91.9,12.2,85.5
2025-08-25,Grid Analytics,6,95.3,4.8,76.3
2025-08-25,Customer Experience,10,86.5,28.6,95.9
2025-08-25,Field Operations Tools,3,93.2,20.1,84.1
2025-08-25,Data Platform,10,90.1,16.5,82.7
2025-08-25,Core Billing,7,95.5,29.3,95.6
2025-09-01,Grid Analytics,5,91.8,42.9,99.4
2025-09-01,Customer Experience,11,88.4,10.8,78.1
2025-09-01,Field Operations Tools,4,93.3,62.2,75.9
2025-09-01,Data Platform,12,87.2,58.8,75.3
2025-09-01,Core Billing,8,87.0,64.7,88.9
2025-09-08,Grid Analytics,9,95.8,57.4,79.0
2025-09-08,Customer Experience,9,97.9,7.2,73.0
2025-09-08,Field Operations Tools,3,85.9,59.3,84.3
2025-09-08,Data Platform,11,86.4,54.6,77.8
2025-09-08,Core Billing,6,93.4,67.4,77.7
2025-09-15,Grid Analytics,1,91.2,27.9,90.4
2025-09-15,Customer Experience,10,88.0,43.2,89.5
2025-09-15,Field Operations Tools,3,99.7,23.4,79.8
2025-09-15,Data Platform,9,92.3,54.1,96.7
2025-09-15,Core Billing,7,94.2,35.5,98.7
2025-09-22,Grid Analytics,3,94.6,67.1,82.7
2025-09-22,Customer Experience,10,93.6,61.7,72.1
2025-09-22,Field Operations Tools,3,90.2,25.3,89.6
2025-09-22,Data Platform,12,89.0,47.8,78.1
2025-09-22,Core Billing,8,96.7,67.8,92.4
2025-09-29,Grid Analytics,9,99.5,32.2,75.5
2025-09-29,Customer Experience,1,86.9,20.0,77.5
2025-09-29,Field Operations Tools,12,95.5,9.4,75.0
2025-09-29,Data Platform,2,86.4,67.7,84.2
2025-09-29,Core Billing,1,85.4,31.0,92.9
2025-10-06,Grid Analytics,2,86.6,46.0,72.5
2025-10-06,Customer Experience,7,89.6,20.8,78.5
2025-10-06,Field Operations Tools,11,86.9,39.8,75.1
2025-10-06,Data Platform,1,95.0,62.5,79.8
2025-10-06,Core Billing,8,92.0,63.2,98.0
2025-10-13,Grid Analytics,9,91.7,69.9,90.9
2025-10-13,Customer Experience,3,93.9,35.0,92.5
2025-10-13,Field Operations Tools,10,91.5,47.5,86.0
2025-10-13,Data Platform,6,92.2,19.4,72.7
2025-10-13,Core Billing,5,90.5,21.7,79.1
2025-10-20,Grid Analytics,1,92.8,55.6,74.1
2025-10-20,Customer Experience,5,92.0,4.6,97.7
2025-10-20,Field Operations Tools,8,89.5,56.1,93.9
2025-10-20,Data Platform,10,88.5,4.5,81.2
2025-10-20,Core Billing,7,98.2,33.7,77.5
2025-10-27,Grid Analytics,12,96.1,30.5,81.4
2025-10-27,Customer Experience,5,86.2,46.5,85.5
2025-10-27,Field Operations Tools,10,97.1,50.6,78.5
2025-10-27,Data Platform,12,93.0,22.3,75.6
2025-10-27,Core Billing,2,87.7,23.7,89.1
2025-11-03,Grid Analytics,10,91.8,51.6,84.8
2025-11-03,Customer Experience,6,85.3,7.4,86.0
2025-11-03,Field Operations Tools,3,99.6,23.2,73.8
2025-11-03,Data Platform,8,95.9,19.8,74.5
2025-11-03,Core Billing,8,88.3,32.6,93.6
2025-11-10,Grid Analytics,8,100.0,35.5,93.7
2025-11-10,Customer Experience,6,86.2,55.0,74.4
2025-11-10,Field Operations Tools,5,96.6,8.9,84.1
2025-11-10,Data Platform,4,98.4,21.0,81.4
2025-11-10,Core Billing,1,86.8,56.2,77.5
2025-11-17,Grid Analytics,8,88.7,71.6,76.0
2025-11-17,Customer Experience,12,96.6,39.4,99.5
2025-11-17,Field Operations Tools,8,90.8,69.4,98.1
