outage_id,date,region,duration_minutes,customers_affected,cause
143,2024-07-05,South,67,5731,Vegetation
144,2024-07-06,Central,427,1011,Planned maintenance
145,2024-07-06,North,192,4384,Vehicle accident
146,2024-07-07,North,274,5324,Vegetation
147,2024-07-13,West,377,1273,Vehicle accident
148,2024-07-13,South,390,4294,Animal contact
149,2024-07-15,Central,411,3980,Vehicle accident
150,2024-07-17,East,180,6997,Equipment failure
151,2024-07-18,North,157,7242,Vehicle accident
152,2024-07-21,West,187,255,Vehicle accident
153,2024-07-22,South,264,1757,Vegetation
154,2024-07-22,East,189,2310,Planned maintenance
155,2024-07-23,East,299,103,Planned maintenance
156,2024-07-24,North,138,5918,Vehicle accident
157,2024-07-24,West,299,6230,Equipment failure
158,2024-07-25,West,244,6515,Weather
159,2024-07-28,East,354,4784,Vegetation
160,2024-08-01,East,195,5777,Vehicle accident
161,2024-08-08,South,113,1792,Animal contact
162,2024-08-10,Central,320,2338,Weather
163,2024-08-11,East,131,2976,Equipment failure
164,2024-08-13,South,155,392,Weather
165,2024-08-14,South,341,7134,Vehicle accident
166,2024-08-20,East,456,3933,Weather
167,2024-08-20,North,220,4048,Weather
168,2024-08-20,Central,337,5643,Weather
169,2024-08-22,East,58,2053,Weather
170,2024-08-23,West,325,4903,Planned maintenance
171,2024-08-28,West,171,4678,Planned maintenance
172,2024-08-28,North,327,7885,Animal contact
173,2024-08-30,South,150,5430,Weather
174,2024-09-05,East,31,1916,Vegetation
175,2024-09-06,West,51,5651,Equipment failure
176,2024-09-07,Central,353,6605,Equipment failure
177,2024-09-07,West,73,4481,Equipment failure
178,2024-09-08,East,438,1185,Weather
179,2024-09-10,Central,398,6772,Planned maintenance
180,2024-09-11,West,78,3859,Animal contact
181,2024-09-11,East,373,3317,Vegetation
182,2024-09-20,Central,315,7808,Weather
183,2024-09-20,East,310,349,Equipment failure
184,2024-09-20,West,280,5357,Vehicle accident
185,2024-09-21,South,314,3590,Animal contact
186,2024-09-21,West,61,3870,Vegetation
187,2024-09-28,West,431,6250,Planned maintenance
188,2024-10-03,Central,437,29,Animal contact
189,2024-10-04,West,226,464,Equipment failure
190,2024-10-04,Central,200,5120,Vehicle accident
191,2024-10-05,North,119,2207,Planned maintenance
192,2024-10-08,West,77,256,Animal contact
193,2024-10-08,Central,424,1980,Animal contact
194,2024-10-10,Central,223,783,Equipment failure
195,2024-10-11,North,251,7778,Weather
196,2024-10-11,South,270,7660,Animal contact
197,2024-10-11,East,275,5798,Vegetation
198,2024-10-18,South,457,591,Vegetation
199,2024-10-19,West,189,7673,Planned maintenance
200,2024-10-22,Central,311,5426,Vehicle accident
201,2024-10-23,West,290,3987,Vegetation
202,2024-10-23,East,297,6269,Planned maintenance
203,2024-10-25,South,372,1976,Planned maintenance
204,2024-10-25,West,134,7032,Vehicle accident
205,2024-10-27,West,212,5456,Animal contact
206,2024-10-28,West,33,1054,Planned maintenance
207,2024-10-28,Central,184,7144,Weather
208,2024-10-28,West,66,4328,Vehicle accident
209,2024-10-31,South,53,3866,Vegetation
210,2024-10-31,East,334,5694,Vehicle accident
211,2024-11-01,East,451,5544,Planned maintenance
212,2024-11-04,West,461,4452,Weather
213,2024-11-05,South,338,5626,Vegetation
214,2024-11-06,North,237,826,Animal contact
215,2024-11-06,North,242,1382,Animal contact
216,2024-11-06,East,477,257,Weather
217,2024-11-13,South,102,1454,Weather
218,2024-11-14,West,332,5616,Equipment failure
219,2024-11-16,South,251,5245,Vegetation
220,2024-11-18,West,476,2376,Animal contact
221,2024-11-21,Central,168,5254,Vehicle accident
222,2024-11-21,East,248,6944,Vegetation
223,2024-11-26,Central,166,5748,Vegetation
224,2024-11-28,West,155,86,Planned maintenance
225,2024-11-29,North,325,6124,Vehicle accident
226,2024-11-29,East,412,6564,Equipment failure
227,2024-11-30,East,127,5235,Equipment failure
228,2024-12-01,South,336,815,Animal contact
229,2024-12-02,East,418,3631,Weather
230,2024-12-03,South,61,7471,Vegetation
231,2024-12-07,East,286,4130,Vegetation
232,2024-12-08,East,437,7754,Vehicle accident
233,2024-12-09,East,397,7150,Vegetation
234,2024-12-09,North,254,7908,Weather
235,2024-12-09,South,401,7937,Equipment failure
236,2024-12-10,West,448,6611,Planned maintenance
237,2024-12-10,East,61,6497,Vehicle accident
238,2024-12-14,East,314,3141,Animal contact
239,2024-12-15,North,360,1935,Vehicle accident
240,2024-12-15,North,332,7263,Planned maintenance
241,2024-12-17,North,340,6769,Vehicle accident
242,2024-12-18,East,347,3364,Weather
243,2024-12-18,South,38,7771,Weather
244,2024-12-22,South,213,3736,Vegetation
245,2024-12-22,Central,229,4831,Animal contact
246,2024-12-23,West,350,831,Vehicle accident
247,2024-12-24,East,31,5674,Vegetation
248,2024-12-29,East,293,7406,Animal contact
249,2024-12-29,East,46,3281,Vegetation
250,2024-12-29,South,77,7794,Vehicle accident
251,2025-01-01,North,40,6465,Vegetation
252,2025-01-04,North,439,6288,Planned maintenance
253,2025-01-07,East,411,1228,Planned maintenance
254,2025-01-07,North,156,7052,Equipment failure
255,2025-01-08,Central,143,6561,Equipment failure
256,2025-01-08,North,353,7117,Weather
257,2025-01-08,South,22,2954,Equipment failure
258,2025-01-09,North,104,2193,Weather
259,2025-01-16,West,272,1834,Planned maintenance
260,2025-01-18,Central,169,3772,Animal contact
261,2025-01-19,North,260,6961,Vehicle accident
262,2025-01-19,West,366,904,Vehicle accident
263,2025-01-19,West,52,7386,Weather
264,2025-01-23,Central,295,5853,Vegetation
265,2025-01-25,East,247,4161,Planned maintenance
266,2025-01-27,North,451,5383,Animal contact
267,2025-01-28,Central,384,7110,Equipment failure
268,2025-01-28,West,246,7295,Equipment failure
269,2025-01-30,West,227,5996,Weather
270,2025-02-03,West,49,767,Weather
271,2025-02-03,North,236,811,Animal contact
272,2025-02-03,East,430,1085,Planned maintenance
273,2025-02-05,Central,183,5508,Weather
274,2025-02-05,West,196,7176,Animal contact
275,2025-02-05,West,459,7522,Animal contact
276,2025-02-13,East,447,4576,Vegetation
277,2025-02-18,Central,329,5549,Animal contact
278,2025-02-19,Central,351,6814,Animal contact
279,2025-02-22,East,188,2895,Weather
280,2025-02-25,North,87,6090,Animal contact
281,2025-02-26,North,397,4365,Equipment failure
282,2025-02-26,West,229,3736,Vegetation
283,2025-02-26,South,204,2572,Animal contact
284,2025-02-28,Central,58,7256,Weather
285,2025-02-28,South,95,6200,Planned maintenance
286,2025-03-05,West,154,1785,Planned maintenance
287,2025-03-09,West,284,5485,Vegetation
288,2025-03-12,North,119,2489,Equipment failure
289,2025-03-13,East,163,2707,Weather
290,2025-03-15,South,81,3134,Planned maintenance
291,2025-03-16,Central,301,6846,Animal contact
292,2025-03-17,North,218,7079,Animal contact
293,2025-03-20,East,309,3536,Planned maintenance
294,2025-03-20,West,378,5264,Vehicle accident
295,2025-03-23,South,425,7782,Planned maintenance
296,2025-03-23,West,440,5669,Vegetation
297,2025-03-23,North,238,6938,Weather
298,2025-03-25,Central,55,3262,Vegetation
299,2025-03-26,South,185,6402,Equipment failure
300,2025-03-28,Central,276,1608,Vegetation
301,2025-03-30,South,135,862,Equipment failure
302,2025-03-30,East,116,1441,Planned maintenance
303,2025-03-30,South,404,6238,Animal contact
304,2025-04-01,West,252,6200,Planned maintenance
305,2025-04-01,Central,244,5599,Planned maintenance
306,2025-04-01,Central,180,7099,Animal contact
307,2025-04-05,East,317,480,Vegetation
308,2025-04-10,North,345,7099,Weather
309,2025-04-11,Central,211,3810,Planned maintenance
310,2025-04-12,North,245,7466,Planned maintenance
311,2025-04-13,East,324,3916,Planned maintenance
312,2025-04-17,East,380,710,Planned maintenance
313,2025-04-17,South,35,2049,Animal contact
314,2025-04-26,East,48,2720,Weather
315,2025-04-27,West,160,2084,Animal contact
316,2025-04-28,Central,462,1251,Vegetation
317,2025-04-28,North,313,5456,Equipment failure
318,2025-04-29,East,350,5741,Animal contact
319,2025-04-29,West,81,4894,Animal contact
320,2025-04-30,East,301,3105,Animal contact
321,2025-04-30,East,431,1066,Animal contact
322,2025-05-01,Central,62,5312,Animal contact
323,2025-05-07,West,113,1875,Equipment failure
324,2025-05-07,South,54,2443,Weather
325,2025-05-10,Central,34,5442,Vegetation
326,2025-05-11,Central,82,4912,Vehicle accident
327,2025-05-11,South,98,1501,Animal contact
328,2025-05-12,South,384,3605,Weather
329,2025-05-14,South,242,5021,Vegetation
330,2025-05-15,West,134,4394,Equipment failure
331,2025-05-17,West,477,6861,Equipment failure
332,2025-05-19,West,251,6323,Vegetation
333,2025-05-19,West,272,4340,Vehicle accident
334,2025-05-20,South,425,4973,Equipment failure
335,2025-05-20,East,41,5272,Vehicle accident
336,2025-05-20,East,298,7673,Weather
337,2025-05-21,Central,450,1041,Vegetation
338,2025-05-26,North,128,6710,Vehicle accident
339,2025-05-27,North,227,456,Vehicle accident
340,2025-05-27,Central,206,1951,Vehicle accident
341,2025-05-28,East,129,250,Vegetation
342,2025-05-28,North,444,5874,Animal contact
343,2025-05-28,East,420,1216,Equipment failure
344,2025-05-30,West,371,6828,Equipment failure
345,2025-05-30,West,244,5060,Weather
346,2025-05-31,North,146,1786,Equipment failure
347,2025-05-31,Central,387,5007,Planned maintenance
348,2025-06-02,South,169,1018,Weather
349,2025-06-04,Central,249,534,Weather
350,2025-06-05,West,320,4411,Weather
351,2025-06-06,Central,138,5906,Equipment failure
352,2025-06-10,South,355,5494,Weather
353,2025-06-13,Central,274,6462,Planned maintenance
354,2025-06-13,Central,25,3218,Vehicle accident
355,2025-06-13,North,340,3189,Vegetation
356,2025-06-16,East,138,6024,Animal contact
357,2025-06-17,Central,391,6218,Vegetation
358,2025-06-21,West,371,3940,Animal contact
359,2025-06-24,West,33,2423,Equipment failure
360,2025-06-28,Central,218,6699,Planned maintenance
361,2025-06-28,West,144,319,Animal contact
362,2025-07-01,East,154,1039,Vegetation
363,2025-07-05,East,110,4084,Animal contact
364,2025-07-05,West,203,7591,Planned maintenance
365,2025-07-05,East,425,696,Animal contact
366,2025-07-08,South,294,2426,Vegetation
367,2025-07-08,North,55,2706,Animal contact
368,2025-07-08,East,171,3672,Planned maintenance
369,2025-07-09,South,368,3656,Vegetation
370,2025-07-11,East,329,3583,Vegetation
371,2025-07-12,North,53,5518,Animal contact
372,2025-07-15,South,30,1189,Planned maintenance
373,2025-07-16,West,32,1054,Weather
374,2025-07-18,East,211,7798,Planned maintenance
375,2025-07-29,North,391,1544,Vehicle accident
376,2025-07-29,Central,213,7503,Planned maintenance
377,2025-07-29,North,149,6368,Vegetation
378,2025-07-30,South,328,2359,Animal contact
379,2025-07-31,West,117,1024,Equipment failure
380,2025-07-31,North,246,1434,Animal contact
381,2025-08-03,East,356,2866,Animal contact
382,2025-08-06,South,379,5832,Animal contact
383,2025-08-06,South,421,2981,Planned maintenance
384,2025-08-08,South,136,6494,Vehicle accident
385,2025-08-08,North,199,4558,Planned maintenance
386,2025-08-08,East,254,6603,Planned maintenance
387,2025-08-10,North,173,3281,Animal contact
388,2025-08-10,West,284,3385,Vehicle accident
389,2025-08-11,North,79,7985,Vegetation
390,2025-08-12,West,253,5591,Planned maintenance
391,2025-08-14,Central,342,4835,Equipment failure
392,2025-08-14,South,236,4139,Weather
393,2025-08-15,Central,93,2511,Equipment failure
394,2025-08-17,South,192,7781,Planned maintenance
395,2025-08-17,East,448,666,Vegetation
396,2025-08-19,East,79,5140,Vegetation
397,2025-08-19,Central,288,785,Planned maintenance
398,2025-08-19,South,318,7733,Planned maintenance
399,2025-08-21,Central,187,6922,Planned maintenance
400,2025-08-23,North,38,7790,Animal contact
401,2025-08-23,Central,150,5354,Equipment failure
402,2025-08-24,West,331,5254,Weather
403,2025-08-26,East,343,7856,Vegetation
404,2025-08-28,West,167,3735,Weather
405,2025-08-29,South,240,3424,Vehicle accident
406,2025-09-02,East,390,7071,Vegetation
407,2025-09-02,West,81,6251,Vegetation
408,2025-09-10,Central,229,2053,Equipment failure
409,2025-09-10,East,310,5927,Vegetation
410,2025-09-13,West,270,7221,Vegetation
411,2025-09-13,West,26,757,Vehicle accident
412,2025-09-13,Central,249,7939,Equipment failure
413,2025-09-18,West,161,4416,Weather
414,2025-09-18,North,235,1117,Vegetation
415,2025-09-19,West,202,390,Vehicle accident
416,2025-09-21,East,298,2384,Weather
417,2025-09-25,Central,363,5025,Weather
418,2025-09-29,Central,202,6204,Equipment failure
419,2025-09-29,South,323,4190,Vehicle accident
420,2025-09-29,Central,35,391,Weather
421,2025-10-04,Central,86,2706,Planned maintenance
422,2025-10-07,East,318,2775,Planned maintenance
423,2025-10-08,Central,265,5825,Planned maintenance
424,2025-10-10,East,184,5539,Weather
425,2025-10-11,Central,172,6547,Animal contact
426,2025-10-11,North,320,3907,Vegetation
427,2025-10-11,Central,310,1884,Animal contact
428,2025-10-15,West,90,6751,Animal contact
429,2025-10-17,North,112,175,Vehicle accident
430,2025-10-20,West,271,6368,Planned maintenance
431,2025-10-21,North,376,1151,Planned maintenance
432,2025-10-21,South,302,2682,Animal contact
433,2025-10-24,West,287,2824,Planned maintenance
434,2025-10-24,East,361,6344,Animal contact
435,2025-10-24,East,327,3986,Equipment failure
436,2025-10-25,East,300,2465,Equipment failure
437,2025-10-25,East,409,2387,Animal contact
438,2025-10-25,South,368,5795,Vehicle accident
439,2025-10-28,East,162,1018,Planned maintenance
440,2025-10-28,Central,209,7358,Vehicle accident
441,2025-10-29,South,163,364,Vegetation
442,2025-10-30,North,192,7589,Vehicle accident
443,2025-10-30,East,397,3944,Equipment failure
444,2025-10-30,South,438,4432,Vegetation
445,2025-10-31,East,85,914,Planned maintenance
446,2025-10-31,Central,137,2006,Weather
447,2025-11-01,Central,130,5246,Equipment failure
448,2025-11-04,North,363,6334,Equipment failure
449,2025-11-06,South,223,5368,Vehicle accident
450,2025-11-09,East,161,5311,Weather
451,2025-11-09,North,348,4723,Equipment failure
452,2025-11-09,Central,393,5943,Weather
453,2025-11-10,South,228,7247,Equipment failure
454,2025-11-10,North,443,3272,Vehicle accident
455,2025-11-12,East,463,326,Weather
456,2025-11-14,East,160,3742,Animal contact
457,2025-11-17,Central,254,2255,Equipment failure
458,2025-11-17,North,184,1351,Animal contact
459,2025-11-21,East,305,5544,Equipment failure
460,2025-11-23,West,438,3523,Planned maintenance
461,2025-11-23,East,59,3303,Animal contact
462,2025-11-25,West,180,7686,Equipment failure
463,2025-11-25,North,148,3162,Equipment failure
464,2025-11-25,West,400,2207,Vegetation
465,2025-11-27,North,148,5374,Vegetation
466,2025-11-28,North,356,988,Vehicle accident
467,2025-12-02,East,368,981,Animal contact
468,2025-12-02,East,203,5055,Equipment failure
469,2025-12-06,Central,206,3426,Animal contact
470,2025-12-10,South,405,2047,Animal contact
471,2025-12-11,North,284,3679,Planned maintenance
472,2025-12-12,North,303,939,Weather
473,2025-12-13,Central,118,4711,Planned maintenance
474,2025-12-19,North,475,4200,Vehicle accident
475,2025-12-20,West,82,4224,Vehicle accident
476,2025-12-24,North,217,2104,Weather
477,2025-12-25,Central,52,391,Vehicle accident
478,2025-12-28,North,256,279,Vegetation
479,2025-12-28,West,107,6319,Equipment failure
480,2025-12-28,West,206,7321,Vehicle accident
481,2025-12-30,West,207,677,Animal contact
482,2025-12-30,Central,83,5373,Vegetation
