month,region,revenue_usd,budget_revenue_usd,opex_usd,budget_opex_usd,capex_usd,budget_capex_usd
2025-05-01,West,11508288.02,11089566.06,6619426.89,6341614.85,1578570.88,1707930.41
2025-05-01,Central,14942162.94,14123668.92,7181707.07,7813539.05,2210068.44,1991793.49
2025-06-01,North,9157086.34,8821702.19,5855529.78,5568160.42,1337428.59,1206722.88
2025-06-01,South,12831132.31,12271832.62,7849497.79,7274947.39,2267892.28,2077524.27
2025-06-01,East,11354307.94,11990520.41,8067564.54,7233018.6,1886265.24,2011393.19
2025-06-01,West,12778032.98,12009149.06,8363566.81,7748780.15,1723737.95,1935312.79
2025-06-01,Central,12778561.37,13250658.96,8180245.64,7833254.54,1752808.14,1652925.24
2025-07-01,North,8568189.22,8928835.99,5472895.76,5041438.17,1259640.06,1301536.22
2025-07-01,South,8815545.42,8995201.43,5056241.35,5516219.11,1666535.96,1531208.39
2025-07-01,East,13799079.36,13382189.64,8634019.95,7899306.85,2375846.79,2408582.57
2025-07-01,West,12050450.61,11416311.36,6391292.16,6943349.82,2469989.21,2163535.09
2025-07-01,Central,13032584.9,12443883.82,7615417.12,7711834.4,2668119.82,2339555.92
2025-08-01,North,13297009.6,13773933.53,8425593.65,8257080.52,1786040.72,2008641.87
2025-08-01,South,14553020.58,13966958.03,7993334.73,8782847.32,2776388.39,2675124.61
2025-08-01,East,13098628.3,13856915.25,7647181.68,7643864.32,3090534.71,2693155.64
2025-08-01,West,11666844.7,10994595.11,6901864.09,7141752.62,2357284.05,2119236.54
2025-08-01,Central,13191689.68,14136165.26,8272070.01,7906837.84,2197944.45,2103953.76
2025-09-01,North,8704012.0,8362510.93,5094014.83,5122543.27,1306553.76,1489188.16
2025-09-01,South,8796182.27,8666285.75,5022109.03,4951414.05,1075960.55,1093989.43
2025-09-01,East,8520927.46,8056437.98,4955880.36,4707839.27,1037509.46,1044497.07
2025-09-01,West,8992978.78,9602628.07,5264517.2,5367226.75,1664776.34,1771459.67
2025-09-01,Central,10920951.09,10679047.35,7072236.0,6742075.5,1765934.82,2028589.52
2025-10-01,North,11658675.17,11943038.5,6909873.53,7297577.79,1708390.54,1589968.64
2025-10-01,South,13786014.51,14439258.87,9689994.8,8831160.48,2001413.05,2243726.68
2025-10-01,East,8761978.31,8862100.56,5929861.45,5521096.76,1213356.9,1312679.6
2025-10-01,West,12955140.09,12512343.98,6923906.05,7192304.31,2381486.69,2103073.84
2025-10-01,Central,7801891.97,8187770.84,5371053.74,5196835.49,1410858.09,1556218.29
2025-11-01,North,11247191.38,10742257.11,6289784.46,6602373.6,1895464.55,1962654.72
2025-11-01,South,10290099.8,9687572.29,5367466.39,5946311.63,1166807.7,1217543.39
2025-11-01,East,10085964.01,10215308.55,6135051.56,6013586.91,1723820.12,1911466.72
2025-11-01,West,11455015.08,11297102.38,6618199.45,7328844.09,1300388.33,1421619.99
2025-11-01,Central,13964139.64,14458055.02,9852912.51,9323537.02,2371196.73,2195282.19
2025-12-01,North,11031089.37,10965026.65,6042064.54,6471862.91,1643121.95,1877683.87
2025-12-01,South,8081533.11,8553150.93,5337509.14,5491913.95,1736956.9,1693054.07
2025-12-01,East,12937316.66,13342568.92,8174670.09,8205465.78,2598795.6,2287615.0
2025-12-01,West,9076287.79,9670461.72,5747971.22,5555177.15,1625380.85,1875781.59
2025-12-01,Central,11675211.84,12662557.05,7253287.12,7797668.93,1448601.49,1697436.95
